X,Y,profile_id,profile_layer_id,country_name,upper_depth,lower_depth,layer_name,litter,wv0500_value,wv0500_value_avg,wv0500_method,wv0500_date,wv0500_dataset_id,wv0500_profile_code,wv0500_licence
30.54167,-26.56389,62656,147755,South Africa,50,120,B,0,"{1:4.00,2:4.00,3:4.00}",4,"{""1:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""2:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""3:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified""}","{1:1972-10-1,2:1972-10-1,3:1972-10-1}",AF-AfSP,ZA SOTER_6378,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
30.55278,-29.41389,62657,147756,South Africa,0,54,A,0,"{1:6.00,2:6.00,3:6.00}",6,"{""1:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""2:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""3:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified""}","{1:1975-6-1,2:1975-6-1,3:1975-6-1}",AF-AfSP,ZA SOTER_4360,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
30.56389,-29.40278,62658,147759,South Africa,0,40,A,0,"{1:4.00,2:4.00,3:4.00}",4,"{""1:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""2:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""3:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified""}","{1:1976-??-??,2:1976-??-??,3:1976-??-??}",AF-AfSP,ZA SOTER_4363,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
30.56389,-29.40278,62658,147760,South Africa,40,89,B,0,"{1:6.00,2:6.00,3:6.00}",6,"{""1:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""2:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""3:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified""}","{1:1976-??-??,2:1976-??-??,3:1976-??-??}",AF-AfSP,ZA SOTER_4363,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
30.56389,-23.96667,62659,147761,South Africa,0,25,A,0,"{1:16.00,2:16.00,3:16.00}",16,"{""1:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""2:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""3:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified""}","{1:1973-11-1,2:1973-11-1,3:1973-11-1}",AF-AfSP,ZA SOTER_961,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
30.56389,-23.96667,62659,147762,South Africa,25,120,B,0,"{1:16.00,2:16.00,3:16.00}",16,"{""1:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""2:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""3:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified""}","{1:1973-11-1,2:1973-11-1,3:1973-11-1}",AF-AfSP,ZA SOTER_961,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
30.56583,-25.81944,62660,147763,South Africa,0,30,A,0,"{1:19.00,2:19.00,3:19.00}",19,"{""1:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""2:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""3:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified""}","{1:1972-8-1,2:1972-8-1,3:1972-8-1}",AF-AfSP,ZA SOTER_453,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
30.56583,-25.81944,62660,147764,South Africa,30,50,B,0,"{1:20.00,2:20.00,3:20.00}",20,"{""1:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""2:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""3:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified""}","{1:1972-8-1,2:1972-8-1,3:1972-8-1}",AF-AfSP,ZA SOTER_453,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
30.57,-27.87167,62662,147772,South Africa,0,33,A,0,"{1:6.00,2:6.00,3:6.00}",6,"{""1:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""2:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""3:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified""}","{1:1973-5-1,2:1973-5-1,3:1973-5-1}",AF-AfSP,ZA SOTER_4144,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
30.57,-27.87167,62662,147773,South Africa,33,58,B,0,"{1:8.00,2:8.00,3:8.00}",8,"{""1:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""2:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""3:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified""}","{1:1973-5-1,2:1973-5-1,3:1973-5-1}",AF-AfSP,ZA SOTER_4144,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
