Country,Year,pest_tonnes,N2O_kilotonnes,ave_rain($mm$),ave_temp($^\circ C$),Item,hg/ha_yield
Burundi,1990,92,2.9406,103.07499999999999,20.408333333333335,Bananas,53345
Burundi,1990,92,2.9406,103.07499999999999,20.408333333333335,Cassava,88969
Burundi,1990,92,2.9406,103.07499999999999,20.408333333333335,"Coffee, green",7742
Burundi,1990,92,2.9406,103.07499999999999,20.408333333333335,Maize,13540
Burundi,1990,92,2.9406,103.07499999999999,20.408333333333335,Potatoes,34836
Burundi,1990,92,2.9406,103.07499999999999,20.408333333333335,Tea,7742
Comoros,1990,1,0.1299,154.25000000000003,24.308333333333337,Bananas,56270
Comoros,1990,1,0.1299,154.25000000000003,24.308333333333337,Cassava,45333
Comoros,1990,1,0.1299,154.25000000000003,24.308333333333337,Cloves,2265
Comoros,1990,1,0.1299,154.25000000000003,24.308333333333337,"Coffee, green",1475
Comoros,1990,1,0.1299,154.25000000000003,24.308333333333337,Maize,23800
Comoros,1990,1,0.1299,154.25000000000003,24.308333333333337,Potatoes,120000
Kenya,1990,3469,32.1556,62.274999999999984,24.666666666666668,Bananas,120000
Kenya,1990,3469,32.1556,62.274999999999984,24.666666666666668,Cassava,108498
Kenya,1990,3469,32.1556,62.274999999999984,24.666666666666668,Cloves,3182
Kenya,1990,3469,32.1556,62.274999999999984,24.666666666666668,"Coffee, green",6786
Kenya,1990,3469,32.1556,62.274999999999984,24.666666666666668,Maize,16591
Kenya,1990,3469,32.1556,62.274999999999984,24.666666666666668,Potatoes,88655
Kenya,1990,3469,32.1556,62.274999999999984,24.666666666666668,Tea,20313
Madagascar,1990,128,21.1506,94.075,22.266666666666666,Bananas,52714
Madagascar,1990,128,21.1506,94.075,22.266666666666666,Cassava,66512
Madagascar,1990,128,21.1506,94.075,22.266666666666666,Cloves,1188
Madagascar,1990,128,21.1506,94.075,22.266666666666666,"Coffee, green",3536
Madagascar,1990,128,21.1506,94.075,22.266666666666666,Maize,9848
Madagascar,1990,128,21.1506,94.075,22.266666666666666,Potatoes,69744
Madagascar,1990,128,21.1506,94.075,22.266666666666666,Tea,17500
Malawi,1990,172,3.2412,68.11666666666667,22.266666666666666,Bananas,49444
Malawi,1990,172,3.2412,68.11666666666667,22.266666666666666,Cassava,23536
Malawi,1990,172,3.2412,68.11666666666667,22.266666666666666,"Coffee, green",14045
Malawi,1990,172,3.2412,68.11666666666667,22.266666666666666,Maize,9993
Malawi,1990,172,3.2412,68.11666666666667,22.266666666666666,Potatoes,102044
Malawi,1990,172,3.2412,68.11666666666667,22.266666666666666,Tea,21038
Mauritius,1990,889,0.3799,106.61666666666667,23.049999999999997,Bananas,175286
Mauritius,1990,889,0.3799,106.61666666666667,23.049999999999997,Cassava,135714
Mauritius,1990,889,0.3799,106.61666666666667,23.049999999999997,Maize,41790
Mauritius,1990,889,0.3799,106.61666666666667,23.049999999999997,Potatoes,181098
Mauritius,1990,889,0.3799,106.61666666666667,23.049999999999997,Tea,19797
Mozambique,1990,102,3.2536,67.85000000000001,24.008333333333336,Bananas,66380
Mozambique,1990,102,3.2536,67.85000000000001,24.008333333333336,Cassava,48612
Mozambique,1990,102,3.2536,67.85000000000001,24.008333333333336,"Coffee, green",6280
Mozambique,1990,102,3.2536,67.85000000000001,24.008333333333336,Maize,4480
Mozambique,1990,102,3.2536,67.85000000000001,24.008333333333336,Potatoes,120710
Mozambique,1990,102,3.2536,67.85000000000001,24.008333333333336,Tea,6897
Rwanda,1990,157,2.5155,92.83333333333331,19.10833333333333,Bananas,69320
Rwanda,1990,157,2.5155,92.83333333333331,19.10833333333333,Cassava,20126
Rwanda,1990,157,2.5155,92.83333333333331,19.10833333333333,"Coffee, green",6305
Rwanda,1990,157,2.5155,92.83333333333331,19.10833333333333,Maize,10252
Rwanda,1990,157,2.5155,92.83333333333331,19.10833333333333,Potatoes,67453
Rwanda,1990,157,2.5155,92.83333333333331,19.10833333333333,Tea,10450
Seychelles,1990,10,0.0166,161.35833333333335,27.241666666666664,Bananas,200000
Seychelles,1990,10,0.0166,161.35833333333335,27.241666666666664,Cassava,50645
Seychelles,1990,10,0.0166,161.35833333333335,27.241666666666664,Tea,5475
Uganda,1990,72,13.8513,96.25,22.974999999999998,Bananas,47458
Uganda,1990,72,13.8513,96.25,22.974999999999998,Cassava,83010
Uganda,1990,72,13.8513,96.25,22.974999999999998,"Coffee, green",4768
Uganda,1990,72,13.8513,96.25,22.974999999999998,Maize,15012
Uganda,1990,72,13.8513,96.25,22.974999999999998,Potatoes,70000
Uganda,1990,72,13.8513,96.25,22.974999999999998,Tea,6095
Zambia,1990,1080,15.1556,73.63333333333334,22.183333333333337,Bananas,31174
Zambia,1990,1080,15.1556,73.63333333333334,22.183333333333337,Cassava,62040
Zambia,1990,1080,15.1556,73.63333333333334,22.183333333333337,"Coffee, green",9020
Zambia,1990,1080,15.1556,73.63333333333334,22.183333333333337,Maize,14316
Zambia,1990,1080,15.1556,73.63333333333334,22.183333333333337,Potatoes,90000
Zambia,1990,1080,15.1556,73.63333333333334,22.183333333333337,Tea,12174
Zimbabwe,1990,5727,14.0979,52.650000000000006,21.55,Bananas,52000
Zimbabwe,1990,5727,14.0979,52.650000000000006,21.55,Cassava,39916
Zimbabwe,1990,5727,14.0979,52.650000000000006,21.55,"Coffee, green",23223
Zimbabwe,1990,5727,14.0979,52.650000000000006,21.55,Maize,17206
Zimbabwe,1990,5727,14.0979,52.650000000000006,21.55,Potatoes,158974
Zimbabwe,1990,5727,14.0979,52.650000000000006,21.55,Tea,34274
Burundi,1991,92,2.9646,101.29166666666667,20.4,Bananas,54693
Burundi,1991,92,2.9646,101.29166666666667,20.4,Cassava,89785
Burundi,1991,92,2.9646,101.29166666666667,20.4,"Coffee, green",9001
Burundi,1991,92,2.9646,101.29166666666667,20.4,Maize,13887
Burundi,1991,92,2.9646,101.29166666666667,20.4,Potatoes,30873
Burundi,1991,92,2.9646,101.29166666666667,20.4,Tea,8842
Comoros,1991,1,0.1284,169.21666666666667,24.141666666666666,Bananas,59182
Comoros,1991,1,0.1284,169.21666666666667,24.141666666666666,Cassava,48128
Comoros,1991,1,0.1284,169.21666666666667,24.141666666666666,Cloves,2388
Comoros,1991,1,0.1284,169.21666666666667,24.141666666666666,"Coffee, green",1477
Comoros,1991,1,0.1284,169.21666666666667,24.141666666666666,Maize,23379
Comoros,1991,1,0.1284,169.21666666666667,24.141666666666666,Potatoes,133333
Kenya,1991,3469,30.9438,49.44166666666666,24.791666666666668,Bananas,118421
Kenya,1991,3469,30.9438,49.44166666666666,24.791666666666668,Cassava,100000
Kenya,1991,3469,30.9438,49.44166666666666,24.791666666666668,Cloves,2608
Kenya,1991,3469,30.9438,49.44166666666666,24.791666666666668,"Coffee, green",5560
Kenya,1991,3469,30.9438,49.44166666666666,24.791666666666668,Maize,18321
Kenya,1991,3469,30.9438,49.44166666666666,24.791666666666668,Potatoes,113356
Kenya,1991,3469,30.9438,49.44166666666666,24.791666666666668,Tea,20232
Madagascar,1991,131,21.1845,110.85833333333333,22.3,Bananas,55233
Madagascar,1991,131,21.1845,110.85833333333333,22.3,Cassava,66523
Madagascar,1991,131,21.1845,110.85833333333333,22.3,Cloves,1829
Madagascar,1991,131,21.1845,110.85833333333333,22.3,"Coffee, green",3812
Madagascar,1991,131,21.1845,110.85833333333333,22.3,Maize,9667
Madagascar,1991,131,21.1845,110.85833333333333,22.3,Potatoes,55983
Madagascar,1991,131,21.1845,110.85833333333333,22.3,Tea,18000
Malawi,1991,172,3.6023,87.88333333333334,22.09166666666667,Bananas,71293
Malawi,1991,172,3.6023,87.88333333333334,22.09166666666667,Cassava,23432
Malawi,1991,172,3.6023,87.88333333333334,22.09166666666667,"Coffee, green",14706
Malawi,1991,172,3.6023,87.88333333333334,22.09166666666667,Maize,11419
Malawi,1991,172,3.6023,87.88333333333334,22.09166666666667,Potatoes,66730
Malawi,1991,172,3.6023,87.88333333333334,22.09166666666667,Tea,18731
Mauritius,1991,815,0.3779,140.65833333333336,23.433333333333334,Bananas,180780
Mauritius,1991,815,0.3779,140.65833333333336,23.433333333333334,Cassava,135714
Mauritius,1991,815,0.3779,140.65833333333336,23.433333333333334,Maize,37193
Mauritius,1991,815,0.3779,140.65833333333336,23.433333333333334,Potatoes,197419
Mauritius,1991,815,0.3779,140.65833333333336,23.433333333333334,Tea,20620
Mozambique,1991,102,3.4115,81.46666666666665,23.95,Bananas,61326
Mozambique,1991,102,3.4115,81.46666666666665,23.95,Cassava,37965
Mozambique,1991,102,3.4115,81.46666666666665,23.95,"Coffee, green",6923
Mozambique,1991,102,3.4115,81.46666666666665,23.95,Maize,3241
Mozambique,1991,102,3.4115,81.46666666666665,23.95,Potatoes,124693
Mozambique,1991,102,3.4115,81.46666666666665,23.95,Tea,7720
Rwanda,1991,107,2.59,93.09999999999998,19.075,Bananas,64435
Rwanda,1991,107,2.59,93.09999999999998,19.075,Cassava,26400
Rwanda,1991,107,2.59,93.09999999999998,19.075,"Coffee, green",6140
Rwanda,1991,107,2.59,93.09999999999998,19.075,Maize,11556
Rwanda,1991,107,2.59,93.09999999999998,19.075,Potatoes,68462
Rwanda,1991,107,2.59,93.09999999999998,19.075,Tea,11288
Seychelles,1991,9,0.0171,169.4083333333333,27.391666666666662,Bananas,200000
Seychelles,1991,9,0.0171,169.4083333333333,27.391666666666662,Cassava,135833
Seychelles,1991,9,0.0171,169.4083333333333,27.391666666666662,Tea,5605
Uganda,1991,72,14.3373,102.56666666666666,22.849999999999994,Bananas,46341
Uganda,1991,72,14.3373,102.56666666666666,22.849999999999994,Cassava,83008
Uganda,1991,72,14.3373,102.56666666666666,22.849999999999994,"Coffee, green",5458
Uganda,1991,72,14.3373,102.56666666666666,22.849999999999994,Maize,13500
Uganda,1991,72,14.3373,102.56666666666666,22.849999999999994,Potatoes,71885
Uganda,1991,72,14.3373,102.56666666666666,22.849999999999994,Tea,6122
Zambia,1991,1080,15.3872,80.11666666666667,21.850000000000005,Bananas,33333
Zambia,1991,1080,15.3872,80.11666666666667,21.850000000000005,Cassava,62000
Zambia,1991,1080,15.3872,80.11666666666667,21.850000000000005,"Coffee, green",9667
Zambia,1991,1080,15.3872,80.11666666666667,21.850000000000005,Maize,17140
Zambia,1991,1080,15.3872,80.11666666666667,21.850000000000005,Potatoes,90909
Zambia,1991,1080,15.3872,80.11666666666667,21.850000000000005,Tea,12128
Zimbabwe,1991,6753,12.208,43.558333333333316,21.475000000000005,Bananas,51613
Zimbabwe,1991,6753,12.208,43.558333333333316,21.475000000000005,Cassava,40000
Zimbabwe,1991,6753,12.208,43.558333333333316,21.475000000000005,"Coffee, green",19502
Zimbabwe,1991,6753,12.208,43.558333333333316,21.475000000000005,Maize,14400
Zimbabwe,1991,6753,12.208,43.558333333333316,21.475000000000005,Potatoes,157607
Zimbabwe,1991,6753,12.208,43.558333333333316,21.475000000000005,Tea,28680
Burundi,1992,92,2.9979,92.52499999999999,20.383333333333336,Bananas,56055
Burundi,1992,92,2.9979,92.52499999999999,20.383333333333336,Cassava,92046
Burundi,1992,92,2.9979,92.52499999999999,20.383333333333336,"Coffee, green",9304
Burundi,1992,92,2.9979,92.52499999999999,20.383333333333336,Maize,14218
Burundi,1992,92,2.9979,92.52499999999999,20.383333333333336,Potatoes,33357
Burundi,1992,92,2.9979,92.52499999999999,20.383333333333336,Tea,10657
Comoros,1992,1,0.1289,164.37500000000003,24.25833333333333,Bananas,59418
Comoros,1992,1,0.1289,164.37500000000003,24.25833333333333,Cassava,49264
Comoros,1992,1,0.1289,164.37500000000003,24.25833333333333,Cloves,2431
